score,title,source_url,file,publish_date
6.56,Xiaomi (01810.HK) Core business reached a new record high,https://www.stocksbnb.com/reports/xiaomi-01810-hk-core-business-reached-a-new-record-high/,filtered_01_score_6.6_2025-08-05-024833_xiaomi-01810-hk-core-business-reached-a-new-record-high.md,
5.20,Hong Kong stocks of Xiaomi rise to the highest record,https://xiaomitime.com/hong-kong-stocks-of-xiaomi-rise-to-the-highest-record-20641/,filtered_02_score_5.2_2025-08-05-024845_hong-kong-stocks-of-xiaomi-rise-to-the-highest-record.md,2025-01-03 08:42:30+03:00
4.33,First fatal accident involving Xiaomi SU7 claims three lives on Chinese highway,https://carnewschina.com/2025/04/01/first-fatal-accident-involving-xiaomi-su7-claims-three-lives-on-chinese-highway/,filtered_03_score_4.3_2025-08-05-024813_first-fatal-accident-involving-xiaomi-su7-claims-three-lives.md,2025-04-01 00:00:00
4.20,HKD1.7B Southbound Trading Net Inflow to XIAOMI-W,http://www.aastocks.com/en/mobile/news.aspx?newsid=NOW.1456846&newssource=AAFN,filtered_04_score_4.2_2025-08-05-024822_hkd1-7b-southbound-trading-net-inflow-to-xiaomi-w.md,
3.94,"JPMorgan: Overseas investors are extremely bullish on Chinese stocks, with the internet sector serving as a pillar of confidence.",https://www.ainvest.com/news/jpmorgan-overseas-investors-extremely-bullish-chinese-stocks-internet-sector-serving-pillar-confidence-2503/,filtered_05_score_3.9_2025-08-05-024809_jpmorgan-overseas-investors-are-extremely-bullish-on-chines.md,
3.62,<Research>G Sachs: Short-term Profit Outlook for CN E-commerce Faces Challenges; TENCENT/ NTES-S/ XIAOMI-W Favored for Internet Stocks,http://www.aastocks.com/en/stocks/news/aafn-con/NOW.1443561/latest-news/AAFN,filtered_06_score_3.6_2025-08-05-024825_research-g-sachs-short-term-profit-outlook-for-cn-e-commer.md,
3.23,"<Research>CMBI Expects AI Glasses Boom to Benefit Tech Supply Chain w/ Ratings at Buy for XIAOMI-W (01810.HK), Others",http://www.aastocks.com/en/stocks/analysis/stock-aafn-con/1810/HK6/NOW.1457784/hk-stock-news,filtered_07_score_3.2_2025-08-05-024804_research-cmbi-expects-ai-glasses-boom-to-benefit-tech-suppl.md,
